n,seed,method,length,time,gap_pct
20,0,Random,10388.500841262274,0.0006868327036499977,
20,0,Random + 2-opt,4958.370792221756,0.012794166803359985,
20,0,Random + 2-opt fast,4958.370792221756,0.0033725411631166935,
20,0,Nearest Neighbor,5094.704097455049,5.0582922995090485e-05,
20,0,Nearest Neighbor + 2-opt,4545.174759487566,0.003359792288392782,
20,0,Nearest Neighbor + 2-opt fast,4545.174759487566,0.0005376669578254223,
20,0,MultiStart Nearest Neighbor,4683.054775940419,0.0008673332631587982,
20,0,Greedy Insertion,4897.7473293578205,0.0005284170620143414,
20,0,Greedy Insertion + 2-opt fast,4769.942294158359,0.00024062488228082657,
20,0,MultiStart Greedy Insertion,4646.566747265946,0.014291707891970873,
20,0,Simulated Annealing,4474.144247088554,0.05419295793399215,
20,0,MultiStart 2-opt fast (10),4474.144247088554,0.03746866714209318,
20,1,Random,12740.3774276297,1.3708136975765228e-05,
20,1,Random + 2-opt,4308.643201493082,0.0065919579938054085,
20,1,Random + 2-opt fast,4308.643201493082,0.0008515832014381886,
20,1,Nearest Neighbor,4457.862729824269,4.8708170652389526e-05,
20,1,Nearest Neighbor + 2-opt,4111.6923616982485,0.0019962918013334274,
20,1,Nearest Neighbor + 2-opt fast,4111.6923616982485,0.0005154167301952839,
20,1,MultiStart Nearest Neighbor,3681.9677340692806,0.0025230413302779198,
20,1,Greedy Insertion,3840.427961619827,0.003213417250663042,
20,1,Greedy Insertion + 2-opt fast,3666.6549743242244,0.0001910421997308731,
20,1,MultiStart Greedy Insertion,3777.22675665494,0.010958459228277206,
20,1,Simulated Annealing,3657.3951274997503,0.02962991688400507,
20,1,MultiStart 2-opt fast (10),3610.728771642621,0.010462417267262936,
20,2,Random,9659.414911040487,9.832903742790222e-06,
20,2,Random + 2-opt,4214.273300278263,0.004421833902597427,
20,2,Random + 2-opt fast,4214.273300278263,0.0007028752006590366,
20,2,Nearest Neighbor,4571.301021352786,4.5999884605407715e-05,
20,2,Nearest Neighbor + 2-opt,4028.746898848859,0.0008672503754496574,
20,2,Nearest Neighbor + 2-opt fast,4028.746898848859,0.00016774982213974,
20,2,MultiStart Nearest Neighbor,4488.298144501324,0.000851750373840332,
20,2,Greedy Insertion,4084.662570473306,0.0005233329720795155,
20,2,Greedy Insertion + 2-opt fast,3723.7323383158855,0.00017054099589586258,
20,2,MultiStart Greedy Insertion,3968.9955390850596,0.010385334026068449,
20,2,Simulated Annealing,3723.7323383158855,0.0296017499640584,
20,2,MultiStart 2-opt fast (10),3723.732338315885,0.008369207847863436,
20,3,Random,10563.621330150383,1.037493348121643e-05,
20,3,Random + 2-opt,4736.721170710468,0.006128625012934208,
20,3,Random + 2-opt fast,4736.721170710468,0.0009677503257989883,
20,3,Nearest Neighbor,4588.51761095712,4.170835018157959e-05,
20,3,Nearest Neighbor + 2-opt,4293.853156202483,0.001397708896547556,
20,3,Nearest Neighbor + 2-opt fast,4293.853156202483,0.00022237468510866165,
20,3,MultiStart Nearest Neighbor,4153.515710180596,0.0008226246573030949,
20,3,Greedy Insertion,4280.571535855906,0.0005080001428723335,
20,3,Greedy Insertion + 2-opt fast,4280.571535855906,7.579196244478226e-05,
20,3,MultiStart Greedy Insertion,4280.5715358559055,0.01023408304899931,
20,3,Simulated Annealing,4030.88739277003,0.028755208011716604,
20,3,MultiStart 2-opt fast (10),4083.5753680948096,0.009801874868571758,
20,4,Random,10288.060440760806,8.666887879371643e-06,
20,4,Random + 2-opt,4683.049726811603,0.005972708109766245,
20,4,Random + 2-opt fast,4683.049726811603,0.0009391247294843197,
20,4,Nearest Neighbor,5024.579001936774,4.137493669986725e-05,
20,4,Nearest Neighbor + 2-opt,4147.575438327575,0.001166915986686945,
20,4,Nearest Neighbor + 2-opt fast,4147.575438327575,0.0001771668903529644,
20,4,MultiStart Nearest Neighbor,3856.498485696088,0.0008560838177800179,
20,4,Greedy Insertion,4385.264242595155,0.0005937502719461918,
20,4,Greedy Insertion + 2-opt fast,4357.449649130101,0.00013362523168325424,
20,4,MultiStart Greedy Insertion,4194.363947062301,0.010007958859205246,
20,4,Simulated Annealing,3902.2017638469915,0.028866708744317293,
20,4,MultiStart 2-opt fast (10),3997.4441046755796,0.008418249897658825,
50,0,Random,28042.361972272593,1.1374708265066147e-05,
50,0,Random + 2-opt,6646.2624644020925,0.5214427090249956,
50,0,Random + 2-opt fast,6646.2624644020925,0.03705866588279605,
50,0,Nearest Neighbor,7215.112894975792,0.00022795796394348145,
