n,seed,branch_policy,lower_bound,incumbent_heuristic,optimal_cost,runtime,nodes_explored,pruned_states,pruning_rate,proof_time,optimality_proven,time_limit_hit,initial_incumbent,incumbent_updates
8,0,lexicographic,trivial,nn_2opt_fast,3204.4711681423455,0.008885625284165144,7176,3523,0.49094202898550726,0.008885625284165144,True,False,3300.6046932702457,2
8,0,lexicographic,trivial,greedy_2opt_fast,3204.4711681423455,0.008826749864965677,7074,3491,0.49349731410800113,0.008826749864965677,True,False,3212.3161036959013,1
8,0,lexicographic,trivial,multistart_2opt_fast,3204.4711681423455,0.023872166872024536,7066,3488,0.49363147466742147,0.023872166872024536,True,False,3204.4711681423455,0
8,0,nearest,trivial,nn_2opt_fast,3204.4711681423455,0.010591999627649784,7067,3488,0.4935616244516768,0.010591999627649784,True,False,3300.6046932702457,2
8,0,nearest,trivial,greedy_2opt_fast,3204.4711681423455,0.01011862512677908,7066,3488,0.49363147466742147,0.01011862512677908,True,False,3212.3161036959013,2
8,0,nearest,trivial,multistart_2opt_fast,3204.4711681423455,0.01783670810982585,7066,3488,0.49363147466742147,0.01783670810982585,True,False,3204.4711681423455,0
8,0,greedy,trivial,nn_2opt_fast,3204.4711681423455,0.013969999738037586,7067,3488,0.4935616244516768,0.013969999738037586,True,False,3300.6046932702457,2
8,0,greedy,trivial,greedy_2opt_fast,3204.4711681423455,0.03493149997666478,7066,3488,0.49363147466742147,0.03493149997666478,True,False,3212.3161036959013,2
8,0,greedy,trivial,multistart_2opt_fast,3204.4711681423455,0.0120387920178473,7066,3488,0.49363147466742147,0.0120387920178473,True,False,3204.4711681423455,0
8,0,random,trivial,nn_2opt_fast,3204.4711681423455,0.013769041281193495,7169,3510,0.4896080345933882,0.013769041281193495,True,False,3300.6046932702457,1
8,0,random,trivial,greedy_2opt_fast,3204.4711681423455,0.009876084048300982,7078,3492,0.4933597061316756,0.009876084048300982,True,False,3212.3161036959013,1
8,0,random,trivial,multistart_2opt_fast,3204.4711681423455,0.01096075028181076,7066,3488,0.49363147466742147,0.01096075028181076,True,False,3204.4711681423455,0
8,0,lexicographic,mst,nn_2opt_fast,3204.4711681423455,0.0016676662489771843,432,303,0.7013888888888888,0.0016676662489771843,True,False,3300.6046932702457,2
8,0,lexicographic,mst,greedy_2opt_fast,3204.4711681423455,0.0018638749606907368,393,278,0.7073791348600509,0.0018638749606907368,True,False,3212.3161036959013,1
8,0,lexicographic,mst,multistart_2opt_fast,3204.4711681423455,0.0018991250544786453,385,275,0.7142857142857143,0.0018991250544786453,True,False,3204.4711681423455,0
8,0,nearest,mst,nn_2opt_fast,3204.4711681423455,0.0016062078066170216,389,274,0.7043701799485861,0.0016062078066170216,True,False,3300.6046932702457,2
8,0,nearest,mst,greedy_2opt_fast,3204.4711681423455,0.0015939581207931042,389,274,0.7043701799485861,0.0015939581207931042,True,False,3212.3161036959013,2
8,0,nearest,mst,multistart_2opt_fast,3204.4711681423455,0.002033875323832035,385,275,0.7142857142857143,0.002033875323832035,True,False,3204.4711681423455,0
8,0,greedy,mst,nn_2opt_fast,3204.4711681423455,0.0016202093102037907,389,274,0.7043701799485861,0.0016202093102037907,True,False,3300.6046932702457,2
8,0,greedy,mst,greedy_2opt_fast,3204.4711681423455,0.0016709999181330204,389,274,0.7043701799485861,0.0016709999181330204,True,False,3212.3161036959013,2
8,0,greedy,mst,multistart_2opt_fast,3204.4711681423455,0.002152792178094387,385,275,0.7142857142857143,0.002152792178094387,True,False,3204.4711681423455,0
8,0,random,mst,nn_2opt_fast,3204.4711681423455,0.002119041047990322,416,291,0.6995192307692307,0.002119041047990322,True,False,3300.6046932702457,2
8,0,random,mst,greedy_2opt_fast,3204.4711681423455,0.0017648329958319664,394,279,0.7081218274111675,0.0017648329958319664,True,False,3212.3161036959013,1
8,0,random,mst,multistart_2opt_fast,3204.4711681423455,0.002009499818086624,385,275,0.7142857142857143,0.002009499818086624,True,False,3204.4711681423455,0
8,1,lexicographic,trivial,nn_2opt_fast,2540.816236279214,0.008021166082471609,6573,3457,0.525939449262133,0.008021166082471609,True,False,2981.2232317894745,4
8,1,lexicographic,trivial,greedy_2opt_fast,2540.816236279214,0.008396584074944258,6346,3425,0.5397100535770564,0.008396584074944258,True,False,2600.9799015664885,2
8,1,lexicographic,trivial,multistart_2opt_fast,2540.8162362792136,0.008316125255078077,6301,3423,0.5432471036343438,0.008316125255078077,True,False,2540.8162362792136,0
8,1,nearest,trivial,nn_2opt_fast,2540.816236279214,0.00925137521699071,6383,3438,0.5386182046059846,0.00925137521699071,True,False,2981.2232317894745,2
8,1,nearest,trivial,greedy_2opt_fast,2540.816236279214,0.009717291686683893,6383,3438,0.5386182046059846,0.009717291686683893,True,False,2600.9799015664885,2
8,1,nearest,trivial,multistart_2opt_fast,2540.8162362792136,0.009634416084736586,6301,3423,0.5432471036343438,0.009634416084736586,True,False,2540.8162362792136,0
8,1,greedy,trivial,nn_2opt_fast,2540.816236279214,0.009822375141084194,6383,3438,0.5386182046059846,0.009822375141084194,True,False,2981.2232317894745,3
8,1,greedy,trivial,greedy_2opt_fast,2540.816236279214,0.010965249966830015,6383,3438,0.5386182046059846,0.010965249966830015,True,False,2600.9799015664885,2
8,1,greedy,trivial,multistart_2opt_fast,2540.8162362792136,0.011075415648519993,6301,3423,0.5432471036343438,0.011075415648519993,True,False,2540.8162362792136,0
8,1,random,trivial,nn_2opt_fast,2540.816236279214,0.011730958707630634,7617,3809,0.5000656426414599,0.011730958707630634,True,False,2981.2232317894745,4
8,1,random,trivial,greedy_2opt_fast,2540.816236279214,0.009398207999765873,6606,3522,0.5331516802906449,0.009398207999765873,True,False,2600.9799015664885,2
8,1,random,trivial,multistart_2opt_fast,2540.8162362792136,0.011020124889910221,6301,3423,0.5432471036343438,0.011020124889910221,True,False,2540.8162362792136,0
8,1,lexicographic,mst,nn_2opt_fast,2540.816236279214,0.0006835418753325939,135,94,0.6962962962962963,0.0006835418753325939,True,False,2981.2232317894745,4
8,1,lexicographic,mst,greedy_2opt_fast,2540.816236279214,0.0009137918241322041,100,73,0.73,0.0009137918241322041,True,False,2600.9799015664885,2
8,1,lexicographic,mst,multistart_2opt_fast,2540.8162362792136,0.0011279168538749218,87,68,0.7816091954022989,0.0011279168538749218,True,False,2540.8162362792136,0
8,1,nearest,mst,nn_2opt_fast,2540.816236279214,0.0006104172207415104,112,82,0.7321428571428571,0.0006104172207415104,True,False,2981.2232317894745,2
8,1,nearest,mst,greedy_2opt_fast,2540.816236279214,0.0006008748896420002,110,81,0.7363636363636363,0.0006008748896420002,True,False,2600.9799015664885,2
8,1,nearest,mst,multistart_2opt_fast,2540.8162362792136,0.0007661250419914722,87,68,0.7816091954022989,0.0007661250419914722,True,False,2540.8162362792136,0
8,1,greedy,mst,nn_2opt_fast,2540.816236279214,0.0006275838240981102,115,82,0.7130434782608696,0.0006275838240981102,True,False,2981.2232317894745,3
8,1,greedy,mst,greedy_2opt_fast,2540.816236279214,0.0006076670251786709,110,81,0.7363636363636363,0.0006076670251786709,True,False,2600.9799015664885,2
8,1,greedy,mst,multistart_2opt_fast,2540.8162362792136,0.000846249982714653,87,68,0.7816091954022989,0.000846249982714653,True,False,2540.8162362792136,0
8,1,random,mst,nn_2opt_fast,2540.816236279214,0.001082917209714651,230,164,0.7130434782608696,0.001082917209714651,True,False,2981.2232317894745,5
8,1,random,mst,greedy_2opt_fast,2540.816236279214,0.000822708010673523,144,105,0.7291666666666666,0.000822708010673523,True,False,2600.9799015664885,3
8,1,random,mst,multistart_2opt_fast,2540.8162362792136,0.0009083328768610954,87,68,0.7816091954022989,0.0009083328768610954,True,False,2540.8162362792136,0
8,2,lexicographic,trivial,nn_2opt_fast,2294.803126824912,0.00910966657102108,7110,3569,0.5019690576652602,0.00910966657102108,True,False,2592.634457999709,4
8,2,lexicographic,trivial,greedy_2opt_fast,2294.803126824912,0.007624624762684107,6283,3345,0.5323889861531116,0.007624624762684107,True,False,2294.803126824912,0
8,2,lexicographic,trivial,multistart_2opt_fast,2294.8031268249115,0.007676958106458187,6283,3345,0.5323889861531116,0.007676958106458187,True,False,2294.8031268249115,0
8,2,nearest,trivial,nn_2opt_fast,2294.803126824912,0.008592041209340096,6283,3345,0.5323889861531116,0.008592041209340096,True,False,2592.634457999709,3
8,2,nearest,trivial,greedy_2opt_fast,2294.803126824912,0.008764499798417091,6283,3345,0.5323889861531116,0.008764499798417091,True,False,2294.803126824912,0
8,2,nearest,trivial,multistart_2opt_fast,2294.8031268249115,0.009265665896236897,6283,3345,0.5323889861531116,0.009265665896236897,True,False,2294.8031268249115,0
8,2,greedy,trivial,nn_2opt_fast,2294.803126824912,0.009467458818107843,6283,3345,0.5323889861531116,0.009467458818107843,True,False,2592.634457999709,4
8,2,greedy,trivial,greedy_2opt_fast,2294.803126824912,0.009900874923914671,6283,3345,0.5323889861531116,0.009900874923914671,True,False,2294.803126824912,0
8,2,greedy,trivial,multistart_2opt_fast,2294.8031268249115,0.010427167173475027,6283,3345,0.5323889861531116,0.010427167173475027,True,False,2294.8031268249115,0
