n,branch_policy,lower_bound,incumbent_heuristic,num_runs,avg_runtime,avg_nodes_explored,avg_pruned_states,avg_pruning_rate,proof_rate,time_limit_rate,avg_incumbent_updates
8,greedy,mst,greedy_2opt_fast,3,0.0009003890057404836,189.66666666666666,137.0,0.7469112721040743,1.0,0.0,1.3333333333333333
8,greedy,mst,multistart_2opt_fast,3,0.001243875517199437,180.66666666666666,133.0,0.7652983032293378,1.0,0.0,0.0
8,greedy,mst,nn_2opt_fast,3,0.000910347793251276,201.33333333333334,141.0,0.6958045527364852,1.0,0.0,3.0
8,greedy,trivial,greedy_2opt_fast,3,0.018599208289136488,6577.333333333333,3423.6666666666665,0.5215462218088392,1.0,0.0,1.3333333333333333
8,greedy,trivial,multistart_2opt_fast,3,0.01118045827994744,6550.0,3418.6666666666665,0.5230891881516256,1.0,0.0,0.0
8,greedy,trivial,nn_2opt_fast,3,0.011086611232409874,6577.666666666667,3423.6666666666665,0.521522938403591,1.0,0.0,3.0
8,lexicographic,mst,greedy_2opt_fast,3,0.0010876112307111423,187.66666666666666,135.66666666666666,0.7457930449533503,1.0,0.0,1.0
8,lexicographic,mst,multistart_2opt_fast,3,0.0012679582772155602,180.66666666666666,133.0,0.7652983032293378,1.0,0.0,0.0
8,lexicographic,mst,nn_2opt_fast,3,0.0010843334409097831,260.3333333333333,183.33333333333334,0.7042128187377408,1.0,0.0,3.3333333333333335
8,lexicographic,trivial,greedy_2opt_fast,3,0.008282652900864681,6567.666666666667,3420.3333333333335,0.5218654512793898,1.0,0.0,1.0
8,lexicographic,trivial,multistart_2opt_fast,3,0.013288416744520267,6550.0,3418.6666666666665,0.5230891881516256,1.0,0.0,0.0
8,lexicographic,trivial,nn_2opt_fast,3,0.008672152645885944,6953.0,3516.3333333333335,0.5062835119709669,1.0,0.0,3.3333333333333335
8,nearest,mst,greedy_2opt_fast,3,0.0008803610689938068,189.66666666666666,137.0,0.7469112721040743,1.0,0.0,1.3333333333333333
8,nearest,mst,multistart_2opt_fast,3,0.0011875418325265248,180.66666666666666,133.0,0.7652983032293378,1.0,0.0,0.0
8,nearest,mst,nn_2opt_fast,3,0.0009033194122215112,196.0,139.0,0.7125541541262664,1.0,0.0,2.3333333333333335
8,nearest,trivial,greedy_2opt_fast,3,0.009533472203960022,6577.333333333333,3423.6666666666665,0.5215462218088392,1.0,0.0,1.3333333333333333
8,nearest,trivial,multistart_2opt_fast,3,0.012245596696933111,6550.0,3418.6666666666665,0.5230891881516256,1.0,0.0,0.0
8,nearest,trivial,nn_2opt_fast,3,0.00947847201799353,6577.666666666667,3423.6666666666665,0.521522938403591,1.0,0.0,2.3333333333333335
8,random,mst,greedy_2opt_fast,3,0.0010206109533707302,202.66666666666666,146.66666666666666,0.745762831359278,1.0,0.0,1.3333333333333333
8,random,mst,multistart_2opt_fast,3,0.001229458333303531,180.66666666666666,133.0,0.7652983032293378,1.0,0.0,0.0
8,random,mst,nn_2opt_fast,3,0.0012739443530639012,257.3333333333333,180.66666666666666,0.7010129665020969,1.0,0.0,3.6666666666666665
8,random,trivial,greedy_2opt_fast,3,0.009339652955532074,6655.666666666667,3453.0,0.5196334575251441,1.0,0.0,1.0
8,random,trivial,multistart_2opt_fast,3,0.010264125186949968,6550.0,3418.6666666666665,0.5230891881516256,1.0,0.0,0.0
8,random,trivial,nn_2opt_fast,3,0.011328319708506266,7056.333333333333,3556.6666666666665,0.5048873090913383,1.0,0.0,3.3333333333333335
10,greedy,mst,greedy_2opt_fast,3,0.002235985826700926,329.6666666666667,264.6666666666667,0.8134035425902857,1.0,0.0,0.6666666666666666
