n,seed,method,length,time
eil51,0,Random,1661.8577814629743,5.808286368846893e-05
eil51,0,Random + 2-opt fast,464.84664587154987,0.015971832908689976
eil51,0,Nearest Neighbor,513.610006884723,0.00022520823404192924
eil51,0,Nearest Neighbor + 2-opt fast,465.90940666737396,0.00450112484395504
eil51,0,Greedy Insertion,496.25217809078623,0.008271167054772377
eil51,0,Greedy Insertion + 2-opt fast,450.8773620162387,0.0057013328187167645
eil51,0,MultiStart 2-opt fast (10),441.55398057890324,0.2408500830642879
berlin52,0,Random,28134.377806265155,2.150004729628563e-05
berlin52,0,Random + 2-opt fast,8271.510658764968,0.020887583028525114
berlin52,0,Nearest Neighbor,8980.918279329191,0.00025850022211670876
berlin52,0,Nearest Neighbor + 2-opt fast,8384.187161856415,0.0036235833540558815
berlin52,0,Greedy Insertion,9014.893160319041,0.008430667221546173
berlin52,0,Greedy Insertion + 2-opt fast,8566.15236411099,0.002610541880130768
berlin52,0,MultiStart 2-opt fast (10),8074.888968000226,0.22882362501695752
kroA100,0,Random,175759.17502674804,5.670776590704918e-05
kroA100,0,Random + 2-opt fast,24178.17785762601,0.25529916677623987
kroA100,0,Nearest Neighbor,26856.388591241608,0.0008594579994678497
kroA100,0,Nearest Neighbor + 2-opt fast,23182.135717171786,0.04115345887839794
kroA100,0,Greedy Insertion,24307.783888905262,0.06272054091095924
kroA100,0,Greedy Insertion + 2-opt fast,23556.64522483989,0.01417304202914238
kroA100,0,MultiStart 2-opt fast (10),22234.85637078402,3.1684215827845037
