n,method,avg_length,avg_time,avg_gap_pct
berlin52,Greedy Insertion,9014.893160319041,0.00866233417764306,19.529211884368088
berlin52,Greedy Insertion + 2-opt fast,8566.15236411099,0.0027842503041028976,13.579320659122125
berlin52,MultiStart 2-opt fast (10),8074.888968000226,0.2418730421923101,7.065618774863773
berlin52,MultiStart Greedy Insertion,8632.045812060856,0.4595823334529996,14.453007319820424
berlin52,MultiStart Nearest Neighbor,8182.1915557256725,0.01277054101228714,8.488352634920082
berlin52,Nearest Neighbor,8980.918279329191,0.00024012476205825806,19.078736135364508
berlin52,Nearest Neighbor + 2-opt fast,8384.187161856415,0.003586667124181986,11.166629035486801
berlin52,Random,28134.377806265155,4.120822995901108e-05,273.03603561741124
berlin52,Random + 2-opt fast,8271.510658764968,0.020681791938841343,9.672641988397878
berlin52,Simulated Annealing,8566.15236411099,0.03169987490400672,13.579320659122125
eil51,Greedy Insertion,496.25217809078623,0.008208833169192076,16.491121617555454
eil51,Greedy Insertion + 2-opt fast,450.8773620162387,0.005744708701968193,5.839756341840069
eil51,MultiStart 2-opt fast (10),441.55398057890324,0.24512387486174703,3.6511691499772856
eil51,MultiStart Greedy Insertion,474.0031577359592,0.42159620812162757,11.268346886375394
eil51,MultiStart Nearest Neighbor,505.77366315481726,0.011813874822109938,18.726212008173064
eil51,Nearest Neighbor,513.610006884723,0.00022866670042276382,20.565729315662683
eil51,Nearest Neighbor + 2-opt fast,465.90940666737396,0.004361792001873255,9.368405320979802
eil51,Random,1661.8577814629743,7.512513548135757e-05,290.1074604373179
eil51,Random + 2-opt fast,464.84664587154987,0.016265499871224165,9.11893095576288
eil51,Simulated Annealing,450.8773620162387,0.030827500391751528,5.839756341840069
kroA100,Greedy Insertion,24307.783888905262,0.06156008364632726,14.217573014309098
kroA100,Greedy Insertion + 2-opt fast,23556.64522483989,0.014599958900362253,10.688117774832671
kroA100,MultiStart 2-opt fast (10),22234.85637078402,3.2552156671881676,4.477287711606139
kroA100,MultiStart Greedy Insertion,23962.6842853314,6.173295999877155,12.596016752802374
kroA100,MultiStart Nearest Neighbor,24698.49657976497,0.08469704212620854,16.05345634698323
kroA100,Nearest Neighbor,26856.388591241608,0.0008463328704237938,26.192973363601205
kroA100,Nearest Neighbor + 2-opt fast,23182.135717171786,0.041692625265568495,8.92837006471096
kroA100,Random,175759.17502674804,6.329221650958061e-05,725.8583546036464
kroA100,Random + 2-opt fast,24178.17785762601,0.26131970807909966,13.608579351686924
kroA100,Simulated Annealing,23556.64522483989,0.031636625062674284,10.688117774832671
